Subject,Start Date,End Date,All Day Event
【学校】春季休業,04/01/2016,04/04/2016,TRUE
【寮】開寮,04/01/2016,04/02/2016,TRUE
【学校】留学生・編入生オリエンテーション,04/01/2016,04/02/2016,TRUE
【学校】授業料免除申請書配布,04/01/2016,04/08/2016,TRUE
【学校】日本学生支援機構奨学金書類配布・申請受付,04/01/2016,04/21/2016,TRUE
【寮】新入寮生荷物搬入,04/02/2016,04/04/2016,TRUE
【学校】本科ならびに専攻科入学式、本科新入生・専攻科２年生オリエンテーション,04/03/2016,04/04/2016,TRUE
【寮】入寮式、北辰寮後援会総会,04/03/2016,04/04/2016,TRUE
【学校】保護者懇談会・専攻科説明会（保護者向け）,04/03/2016,04/04/2016,TRUE
【寮】寮生集会,04/03/2016,04/04/2016,TRUE
【学校】始業式・オリエンテーション、専攻科新入生オリエンテーション,04/04/2016,04/05/2016,TRUE
【学校】１年課題テスト、新入生歓迎会,04/04/2016,04/05/2016,TRUE
【学校】専攻科教科書販売,04/04/2016,04/05/2016,TRUE
【学校】２〜５年教科書販売,04/04/2016,04/05/2016,TRUE
【学校】授業開始,04/05/2016,04/06/2016,TRUE
【学校】新入生歓迎会,04/05/2016,04/06/2016,TRUE
【学校】４〜５年選択科目教科書販売,04/05/2016,04/06/2016,TRUE
【学校】科学技術作文講演会（Ｍ−４、Ｃ−４）,04/05/2016,04/06/2016,TRUE
【学校】資格関連科目の説明会,04/12/2016,04/13/2016,TRUE
【学校】専攻科履修願・再履修願提出締切,04/12/2016,04/13/2016,TRUE
【寮】新入寮生防火避難訓練,04/13/2016,04/14/2016,TRUE
【寮】寮生総会、寮生会役員認証式,04/14/2016,04/15/2016,TRUE
【学校】学外実習説明会、ＪＡＢＥＥ説明会,04/19/2016,04/20/2016,TRUE
【学校】開校記念日（通常授業）,04/20/2016,04/21/2016,TRUE
【学校】校外教育・工場見学申込締切,04/20/2016,04/21/2016,TRUE
【学校】選択科目履修願提出締切,04/22/2016,04/23/2016,TRUE
【学校】４・５年単位認定試験受験願提出締切,04/22/2016,04/23/2016,TRUE
【学校】リーダー研修会,04/23/2016,04/24/2016,TRUE
【学校】専攻科入試説明会,04/26/2016,04/27/2016,TRUE
【学校】一斉懇談日,04/26/2016,04/27/2016,TRUE
【学校】中四国高専専攻科生研究交流会,04/28/2016,04/30/2016,TRUE
【学校】水曜日授業,05/02/2016,05/03/2016,TRUE
【学校】高校美作総体,05/07/2016,05/09/2016,TRUE
【学校】専攻科推薦入試願書受付,05/09/2016,05/14/2016,TRUE
【学校】学生総会,05/10/2016,05/11/2016,TRUE
【学校】専攻科校外実習・長期インターシップ説明会,05/10/2016,05/11/2016,TRUE
【寮】北辰寮後援会・寮生会・寮務委員会懇談会,05/14/2016,05/15/2016,TRUE
【寮】寮祭（暁祭）,05/14/2016,05/15/2016,TRUE
【学校】授業公開週間,05/16/2016,05/21/2016,TRUE
【学校】春季スポーツ大会（雨天の場合は２５日に順延）,05/18/2016,05/19/2016,TRUE
【学校】授業参観日,05/20/2016,05/21/2016,TRUE
【学校】専攻科推薦入試,05/23/2016,05/24/2016,TRUE
【学校】一斉懇談日,05/24/2016,05/25/2016,TRUE
【学校】専攻科推薦入試合格者発表,05/26/2016,05/27/2016,TRUE
【学校】補講日（予備日）,05/28/2016,05/29/2016,TRUE
【学校】前期授業料免除申請受付開始,05/30/2016,06/25/2016,TRUE
【学校】県総体,06/04/2016,06/06/2016,TRUE
【学校】補講日,06/07/2016,06/08/2016,TRUE
【学校】前期中間試験,06/08/2016,06/15/2016,TRUE
【学校】２〜５年第１回単位認定試験時間割発表,06/10/2016,06/11/2016,TRUE
【学校】専攻科前期学力入試願書受付,06/13/2016,06/18/2016,TRUE
【学校】２年・４年校外教育・工場見学（１５日・２２日・７月６日のいずれか）,06/15/2016,06/16/2016,TRUE
【寮】北辰寮防火避難訓練,06/16/2016,06/17/2016,TRUE
【学校】２〜５年第１回単位認定試験,06/18/2016,06/19/2016,TRUE
【寮】北辰寮生救急処置実技講習会,06/21/2016,06/22/2016,TRUE
【学校】一斉懇談日,06/21/2016,06/22/2016,TRUE
【学校】１年校外教育,06/22/2016,06/23/2016,TRUE
【学校】２年・４年校外教育・工場見学（１５日・２２日・７月６日のいずれか）,06/22/2016,06/23/2016,TRUE
【学校】中国地区高専体育大会参加説明会,06/24/2016,06/25/2016,TRUE
【学校】専攻科前期学力入試,06/24/2016,06/25/2016,TRUE
【学校】２〜５年第１回単位認定試験,06/25/2016,06/26/2016,TRUE
【学校】中国地区高専体育大会壮行会,06/28/2016,06/29/2016,TRUE
【学校】専攻科前期学力入試合格者発表,06/29/2016,06/30/2016,TRUE
【学校】休講,07/01/2016,07/02/2016,TRUE
【学校】中国地区高専体育大会（夏季大会）,07/01/2016,07/04/2016,TRUE
【学校】専攻科学位申請説明会,07/04/2016,07/05/2016,TRUE
【寮】寮生スポーツ大会,07/05/2016,07/08/2016,TRUE
【学校】２年・４年校外教育・工場見学（１５日・２２日・７月６日のいずれか）,07/06/2016,07/07/2016,TRUE
【学校】２〜５年第１回単位認定試験,07/09/2016,07/10/2016,TRUE
【学校】後期授業料免除申請書配布,07/12/2016,08/09/2016,TRUE
【学校】月曜日授業,07/14/2016,07/15/2016,TRUE
【学校】資格関連科目指導日,07/19/2016,07/20/2016,TRUE
【学校】補講日（予備日）,07/23/2016,07/24/2016,TRUE
【学校】補講日,07/25/2016,07/26/2016,TRUE
【学校】前期末試験,07/26/2016,08/02/2016,TRUE
【寮】寮一斉清掃,08/01/2016,08/02/2016,TRUE
【寮】閉寮（１７：００）、閉寮点検,08/09/2016,08/10/2016,TRUE
【学校】夏季休業,08/09/2016,09/22/2016,TRUE
【学校】一斉休業,08/10/2016,08/17/2016,TRUE
【寮】臨時開寮開始（１０：００）,08/17/2016,08/18/2016,TRUE
【学校】オープンキャンパス２０１６,08/19/2016,08/21/2016,TRUE
【寮】臨時開寮終了（１０：００）,08/22/2016,08/23/2016,TRUE
【学校】４年次編入願書受付,08/25/2016,08/30/2016,TRUE
【学校】全国高専フォーラム,08/25/2016,08/27/2016,TRUE
【学校】４年次編入学試験,09/05/2016,09/06/2016,TRUE
【学校】４年次編入学試験合格発表,09/09/2016,09/10/2016,TRUE
【寮】開寮（１０：００）,09/11/2016,09/12/2016,TRUE
【学校】特別補習期間,09/12/2016,09/17/2016,TRUE
【学校】後期授業料免除申請受付開始,09/12/2016,10/08/2016,TRUE
【学校】前期終了,09/21/2016,09/22/2016,TRUE
【学校】休講（開講記念日の振り替え）,09/23/2016,09/24/2016,TRUE
【寮】寮生部屋替え,09/25/2016,09/26/2016,TRUE
【学校】後期授業開始,09/26/2016,09/27/2016,TRUE
【学校】全校集会,09/26/2016,09/27/2016,TRUE
【寮】寮生集会・寮生役員認証式,09/26/2016,09/27/2016,TRUE
【学校】留学生と語る会,09/27/2016,09/28/2016,TRUE
【学校】一斉懇談日,09/27/2016,09/28/2016,TRUE
【学校】科学技術作文講演会（Ｅ−４、Ｓ−４）,09/27/2016,09/28/2016,TRUE
【寮】寮生指導者研修会、寮務委員と寮生会との懇談会,09/29/2016,09/30/2016,TRUE
【学校】専攻科校外実習報告書提出締切（含、長期インターンシップ報告書）,09/30/2016,10/01/2016,TRUE
【学校】入試説明会（津山）,10/04/2016,10/05/2016,TRUE
【学校】入試説明会（岡山）,10/05/2016,10/06/2016,TRUE
【学校】入試説明会（笠岡）,10/06/2016,10/07/2016,TRUE
【学校】専攻科校外実習・長期インターンシップ報告会,10/06/2016,10/08/2016,TRUE
【学校】３年合宿研修,10/06/2016,10/08/2016,TRUE
【学校】入試説明会（新見）,10/07/2016,10/08/2016,TRUE
【学校】保護者懇談会・学校説明会（津山）,10/08/2016,10/09/2016,TRUE
【学校】保護者懇談会・学校説明会（岡山）,10/09/2016,10/10/2016,TRUE
【学校】秋季スポーツ大会（雨天の場合は１９日に順延）,10/12/2016,10/13/2016,TRUE
【学校】授業公開週間,10/17/2016,10/22/2016,TRUE
【学校】授業参観日,10/17/2016,10/18/2016,TRUE
【寮】寮生地震避難訓練,10/20/2016,10/21/2016,TRUE
【学校】ロボコン中国地区大会(津山高専),10/23/2016,10/24/2016,TRUE
【寮】寮生スポーツ大会,10/25/2016,10/28/2016,TRUE
【学校】弥生祭準備（休講）,11/04/2016,11/05/2016,TRUE
【学校】弥生祭本祭,11/05/2016,11/07/2016,TRUE
【学校】ミニオープンキャンパス,11/05/2016,11/07/2016,TRUE
【寮】寮生保護者連絡会、北辰寮後援会役員会,11/06/2016,11/07/2016,TRUE
【学校】弥生祭後片付（休講）,11/07/2016,11/08/2016,TRUE
【学校】月曜日の授業,11/08/2016,11/09/2016,TRUE
【寮】寮生教養講座,11/10/2016,11/11/2016,TRUE
【学校】中国地区高専冬季体育大会,11/11/2016,11/14/2016,TRUE
【学校】補講日（予備日）,11/19/2016,11/20/2016,TRUE
【学校】ロボコン全国大会(両国国技館),11/20/2016,11/21/2016,TRUE
【学校】補講日（１、２限は９月２６日の振り替え）,11/21/2016,11/22/2016,TRUE
【学校】資格関連科目指導日,11/21/2016,11/22/2016,TRUE
【学校】専攻科後期学力・社会人特別入試願書受付,11/21/2016,11/26/2016,TRUE
【学校】後期中間試験,11/22/2016,11/30/2016,TRUE
【学校】水曜日授業,11/22/2016,11/23/2016,TRUE
【学校】２〜５年第２回単位認定試験時間割発表,11/25/2016,11/26/2016,TRUE
【寮】入寮説明会,12/01/2016,12/02/2016,TRUE
【学校】２〜５年第２回単位認定試験,12/03/2016,12/04/2016,TRUE
【学校】専攻科後期学力・社会人特別入試,12/05/2016,12/06/2016,TRUE
【学校】３年TOEIC-Bridge-IP試験,12/06/2016,12/07/2016,TRUE
【学校】専攻科後期学力・社会人特別入試合格者発表,12/09/2016,12/10/2016,TRUE
【学校】２〜５年第２回単位認定試験,12/10/2016,12/11/2016,TRUE
【寮】寮一斉清掃,12/12/2016,12/13/2016,TRUE
【学校】一斉懇談日,12/13/2016,12/14/2016,TRUE
【学校】専攻科進路活動報告会,12/16/2016,12/17/2016,TRUE
【学校】４年TOEIC-IP試験,12/20/2016,12/21/2016,TRUE
【学校】金曜日授業,12/21/2016,12/22/2016,TRUE
【寮】閉寮（１５：００）・閉寮点検,12/23/2016,12/24/2016,TRUE
【学校】冬季休業,12/25/2016,01/08/2017,TRUE
【学校】推薦入試願書受付,12/26/2016,01/06/2017,TRUE
【学校】一斉休業,12/27/2016,01/05/2017,TRUE
【寮】開寮（１０：００）,01/06/2017,01/07/2017,TRUE
【学校】授業開始,01/10/2017,01/11/2017,TRUE
【寮】開寮集会,01/10/2017,01/11/2017,TRUE
【学校】推薦入試,01/17/2017,01/18/2017,TRUE
【学校】臨時休業日,01/17/2017,01/18/2017,TRUE
【寮】寮生スポーツ大会,01/17/2017,01/20/2017,TRUE
【学校】専攻科特別研究報告書一次締切,01/20/2017,01/21/2017,TRUE
【学校】推薦入試合格内定者発表,01/24/2017,01/25/2017,TRUE
【学校】学生会長立会演説会,01/24/2017,01/25/2017,TRUE
【学校】専攻科特別研究発表会,01/26/2017,01/28/2017,TRUE
【学校】補講日（予備日）,01/28/2017,01/29/2017,TRUE
【学校】学力入試願書受付,01/31/2017,02/04/2017,TRUE
【学校】補講日,02/01/2017,02/02/2017,TRUE
【学校】後期末試験,02/02/2017,02/09/2017,TRUE
【学校】専攻科情報交換会,02/10/2017,02/11/2017,TRUE
【寮】退寮説明会,02/13/2017,02/14/2017,TRUE
【学校】一斉懇談日,02/14/2017,02/15/2017,TRUE
【寮】寮一斉清掃,02/15/2017,02/16/2017,TRUE
【学校】全校集会,02/16/2017,02/17/2017,TRUE
【学校】清掃（全学年）,02/16/2017,02/17/2017,TRUE
【学校】特別補習期間,02/17/2017,02/25/2017,TRUE
【学校】学力入試,02/19/2017,02/20/2017,TRUE
【学校】臨時休業日,02/20/2017,02/21/2017,TRUE
【学校】専攻科特別研究報告書締切,02/21/2017,02/22/2017,TRUE
【学校】入学試験合格者発表,02/27/2017,02/28/2017,TRUE
【学校】特別教育期間,02/27/2017,03/18/2017,TRUE
【学校】入学説明会・入学手続き（第１回）,03/04/2017,03/05/2017,TRUE
【寮】入寮説明会（第１回）,03/04/2017,03/05/2017,TRUE
【寮】寮生活動報告会,03/12/2017,03/13/2017,TRUE
【寮】北辰寮後援会役員会,03/12/2017,03/13/2017,TRUE
【学校】卒業式・専攻科修了式,03/15/2017,03/16/2017,TRUE
【寮】閉寮・閉寮点検（１５：００）,03/17/2017,03/18/2017,TRUE
【学校】学年末休業,03/21/2017,04/01/2017,TRUE
【学校】第３学年修了式（特別修了）,03/31/2017,04/01/2017,TRUE
